t,class,truth,s0,s1,s2
60,0,0,11,0,9
61,0,0,10,0,9
62,0,0,11,0,9
63,0,0,10,0,9
64,0,0,11,0,9
65,0,0,10,0,9
66,0,0,11,0,9
67,0,0,10,0,9
68,0,0,10,0,9
69,0,0,10,0,9
70,0,0,10,0,8
71,0,0,10,0,8
72,0,0,10,0,8
73,0,0,11,0,8
74,0,0,10,0,8
75,0,0,12,0,7
76,0,0,12,0,8
77,0,0,12,0,8
78,0,0,12,0,8
79,0,0,11,0,8
80,0,0,13,0,8
81,0,0,12,0,8
82,0,0,13,0,8
83,0,0,13,0,9
84,0,0,13,0,8
85,0,0,14,1,6
86,0,0,13,0,8
87,0,0,12,0,8
88,0,0,13,0,9
89,0,0,12,0,8
90,0,0,13,0,9
91,0,0,12,0,8
92,0,0,14,0,9
93,0,0,14,0,9
94,0,0,14,0,9
95,0,0,14,0,7
96,0,0,14,0,7
97,0,0,14,0,7
98,0,0,14,0,7
99,0,0,12,1,7
100,0,0,13,2,6
101,0,0,13,2,6
102,0,0,13,2,6
103,0,0,14,2,5
104,0,0,14,2,5
105,0,0,14,2,5
106,0,0,14,3,5
107,0,0,14,3,5
108,0,0,14,3,5
109,0,0,14,3,5
110,0,0,14,3,5
111,0,0,14,3,5
112,0,0,14,3,5
113,0,0,14,3,5
114,0,0,14,3,5
115,0,0,14,3,5
116,0,0,14,3,5
117,0,0,14,2,5
118,0,0,14,2,5
119,0,0,13,2,6
120,0,0,13,2,6
121,0,0,12,3,6
122,0,0,12,3,6
123,0,0,13,3,7
124,0,0,13,3,7
125,0,0,13,3,7
126,0,0,13,3,7
127,0,0,13,3,7
128,0,0,13,3,7
129,0,0,13,3,7
130,0,0,13,3,7
131,0,0,13,3,7
132,0,0,13,3,7
133,0,0,12,0,6
134,0,0,12,0,6
135,0,0,14,0,4
136,0,0,16,0,4
137,0,0,16,0,4
138,0,0,16,0,5
139,0,0,15,0,4
140,0,0,16,0,4
141,0,0,16,0,4
142,0,0,13,0,4
143,0,0,14,0,3
144,0,0,15,1,4
145,0,0,15,1,3
146,0,0,16,1,5
147,0,0,15,0,4
148,0,0,15,0,4
149,0,0,15,1,4
150,0,0,15,1,4
151,0,0,16,1,5
152,0,0,16,1,5
153,0,0,16,0,5
154,0,0,16,0,4
155,0,0,15,0,2
156,0,0,16,0,3
157,0,0,16,0,3
158,0,0,16,0,3
159,0,0,16,0,5
160,0,0,15,0,7
161,0,0,15,0,7
162,0,0,15,0,7
163,0,0,12,1,8
164,0,0,11,1,8
165,0,0,12,1,8
166,0,0,12,1,8
167,0,0,11,1,8
168,0,0,13,0,8
169,0,0,12,0,8
170,0,0,12,0,8
171,0,0,13,0,8
172,0,0,12,0,8
173,0,0,12,0,8
174,0,0,13,0,8
175,0,0,14,0,7
176,0,0,13,0,8
177,0,0,14,0,8
178,0,0,14,0,7
179,0,0,15,0,7
180,0,1,14,0,7
181,0,1,12,0,9
182,0,1,15,0,10
183,0,1,12,0,11
184,0,1,13,0,11
185,0,1,13,1,11
186,0,1,11,1,10
187,0,1,11,2,8
188,0,1,11,2,8
189,0,1,11,3,8
190,0,1,11,2,8
191,0,1,10,2,8
192,0,1,11,2,7
193,0,1,10,4,7
194,0,1,10,2,7
195,0,1,9,2,7
196,0,1,8,4,7
197,0,1,8,8,6
198,1,1,7,11,5
199,0,1,8,8,6
200,0,1,8,8,6
201,1,1,8,11,6
202,1,1,6,11,4
203,1,1,6,11,4
204,1,1,6,11,4
205,1,1,6,11,4
206,1,1,7,11,3
207,1,1,5,13,2
208,1,1,5,13,2
209,1,1,5,13,2
210,1,1,5,13,2
211,1,1,5,13,2
212,1,1,5,13,2
213,1,1,5,13,2
214,1,1,5,13,2
215,1,1,5,13,2
216,1,1,5,13,2
217,1,1,5,13,2
218,1,1,5,13,2
219,1,1,5,13,2
220,1,1,5,13,2
221,1,1,4,13,3
222,1,1,4,14,3
223,1,1,4,12,5
224,1,1,4,12,5
225,1,1,6,12,5
226,1,1,5,12,5
227,1,1,6,12,5
228,1,1,5,12,5
229,1,1,6,12,5
230,1,1,6,12,5
231,1,1,5,12,5
232,1,1,6,13,5
233,1,1,7,12,5
234,1,1,7,12,5
235,1,1,7,12,5
236,1,1,7,12,5
237,1,1,6,13,6
238,1,1,4,14,6
239,1,1,7,13,5
240,1,1,8,12,5
241,1,1,5,12,6
242,1,1,8,12,5
243,1,1,7,12,4
244,1,1,8,10,4
245,1,1,7,12,4
246,1,1,4,12,5
247,1,1,8,12,4
248,1,1,7,12,4
249,1,1,4,12,6
250,1,1,7,12,5
251,1,1,7,12,5
252,1,1,5,12,6
253,1,1,8,10,5
254,1,1,7,12,5
255,1,1,6,12,4
256,1,1,7,11,4
257,1,1,7,10,4
258,1,1,6,12,4
259,1,1,4,12,4
260,1,1,6,12,4
261,1,1,6,12,4
262,1,1,6,12,4
263,1,1,6,12,4
264,1,1,6,12,4
265,1,1,5,13,4
266,1,1,5,13,4
267,1,1,5,13,4
268,1,1,4,13,5
269,1,1,4,13,4
270,1,1,3,13,5
271,1,1,3,13,5
272,1,1,3,13,5
273,1,1,4,12,5
274,1,1,4,12,5
275,1,1,5,12,5
276,1,1,4,13,5
277,1,1,4,13,5
278,1,1,2,13,6
279,1,1,2,13,6
280,1,1,2,13,6
281,1,1,2,12,9
282,1,1,3,13,7
283,1,1,3,13,7
284,1,1,3,12,8
285,1,1,1,15,3
286,1,1,1,15,3
287,1,1,1,15,3
288,1,1,1,15,3
289,1,1,1,15,3
290,1,1,1,15,3
291,1,1,1,15,4
292,1,1,1,15,4
293,1,1,1,15,4
294,1,1,1,15,4
295,1,1,1,15,4
296,1,1,1,14,4
297,1,1,1,15,4
298,1,1,1,15,4
299,1,1,1,15,4
